X,Y
0,0
0.00014363344415642914,-0.00014363344415642914
0.00043211394841674713,-0.00014363344415642914
0.0008640482830707748,3.4466739491341783e-07
0.0011560385157278793,0.001460295830680436
0.0011560385157278793,0.003220588455250459
0.0010107504439216407,0.00539990953234404
0.0008643125498053404,0.007889353732321146
0.0009931681138607648,0.010595320577485058
0.0017261885313201082,0.014553630831765512
0.0027491854119719673,0.01908404558893803
0.00348602504451474,0.02424192301673744
0.00348602504451474,0.02955481239202532
0.002890451127753715,0.03521276460125505
0.0015344750592229835,0.04063666887537798
-0.0005681117172978754,0.04589313581668013
-0.0035202377522853805,0.05115562135731003
-0.0071939934603470505,0.05709014980879426
-0.011183628993629624,0.06335957707538116
-0.01618378939298193,0.06950263128029971
-0.022662220440592948,0.0751172715215626
-0.030390390627322204,0.08051240919909057
-0.03915762721686115,0.08518826871351134
-0.04943444819389088,0.08929899710432324
-0.060053756525413886,0.09202189667650862
-0.0721609467239306,0.09324621928085301
-0.08542645441438391,0.0933829770920948
-0.10007672787728146,0.0918768742127315
-0.1164328011354036,0.08899050834365112
-0.13323514481025972,0.08521323728496252
-0.15130244684869024,0.08014399426698561
-0.17080062229998122,0.07399356308436363
-0.19218074242802702,0.0666897953387579
-0.21689775759548902,0.05826029305621307
-0.24295419670536664,0.0490052737002456
-0.2700389427492854,0.039117191811195884
-0.2965335645948194,0.029470432062309156
-0.3235877625291242,0.01981792928172804
-0.350514732572392,0.010752064995803695
-0.38034761274928075,0.001001806596527868
-0.41061317498182104,-0.008410928069094716
-0.4422012042097925,-0.01766695523822124
-0.4743174700534358,-0.02661258179740955
-0.5124366047937517,-0.03694710277145079
-0.5482422433071422,-0.04697268155520011
-0.5869775375297593,-0.05738172537713688
-0.6263049449569765,-0.0678575849974873
-0.6660172974818667,-0.07825438115207227
-0.7058703277317789,-0.08868800709732827
-0.7461524138123721,-0.0991442081650567
-0.7867234912794445,-0.10992892496010127
-0.8283193262378516,-0.12181344923393188
-0.8629688394585937,-0.13134206536963594
-0.9062087913504842,-0.1436461167209869
-0.9484093254951136,-0.15546226628148316
-0.9872799645622619,-0.16617464712676022
-1.0311429625292872,-0.17899613884019838
-1.0717287323183342,-0.19059207306564038
-1.1136704340897623,-0.20283782540766318
-1.1569303586683246,-0.21603056836424597
-1.2005578460007558,-0.22945441062037866
-1.2437409113518205,-0.2435550033880733
-1.287806386428571,-0.2582434950803234
-1.3328290268336127,-0.27423838048737775
-1.3752193569551325,-0.2901174943765464
-1.4184689818884024,-0.30683699794499897
-1.4619038718551176,-0.32418320000838363
-1.505822719632395,-0.3423326292160282
-1.549794715333974,-0.3608985829566949
-1.5919530430267572,-0.37885244490788017
-1.630110734535616,-0.3960172317031273
-1.667645801353874,-0.4134840449749899
-1.7042029772326766,-0.4309571358187566
